Learning Rate,No. Estimators,Subsample,Criterion,Tree Depth,Val. Macro F1,Val. Micro F1,Val. Weighted F1
0,0.01,50,0.1,friedman_mse,1,0.5383507680051793,0.8810463968410662,0.8573607415174967
1,0.01,50,0.1,friedman_mse,2,0.6514939089336377,0.9017769002961501,0.8823106212027906
2,0.01,50,0.1,friedman_mse,3,0.6703747564567808,0.9052319842053308,0.8886640396641934
3,0.01,50,0.1,friedman_mse,4,0.6821811163498801,0.9081934846989141,0.8932514294798729
4,0.01,50,0.1,squared_error,1,0.5383507680051793,0.8810463968410662,0.8573607415174967
5,0.01,50,0.1,squared_error,2,0.6406974818430716,0.8988153998025666,0.8778628065678127
6,0.01,50,0.1,squared_error,3,0.6836604508485873,0.9086870681145115,0.8939836471683614
7,0.01,50,0.1,squared_error,4,0.6864373485317996,0.9091806515301086,0.8947079996401371
8,0.01,50,0.2,friedman_mse,1,0.5516654296561492,0.8889437314906219,0.869340885844154
9,0.01,50,0.2,friedman_mse,2,0.6297555133737701,0.8978282329713722,0.874529364422325
10,0.01,50,0.2,friedman_mse,3,0.7084416984602425,0.9146100691016783,0.9020830841934994
11,0.01,50,0.2,friedman_mse,4,0.7203452710035518,0.9170779861796644,0.9055735220571967
12,0.01,50,0.2,squared_error,1,0.5516654296561492,0.8889437314906219,0.869340885844154
13,0.01,50,0.2,squared_error,2,0.6297555133737701,0.8978282329713722,0.874529364422325
14,0.01,50,0.2,squared_error,3,0.7106413876700302,0.9151036525172754,0.9029025953755847
15,0.01,50,0.2,squared_error,4,0.717701913192454,0.9160908193484699,0.9040710147654369
16,0.01,50,0.3,friedman_mse,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
17,0.01,50,0.3,friedman_mse,2,0.6270244197697525,0.8973346495557749,0.8735707195359911
18,0.01,50,0.3,friedman_mse,3,0.7232359823346968,0.9175715695952616,0.9063856809775012
19,0.01,50,0.3,friedman_mse,4,0.7329818571998892,0.9200394866732478,0.9098770399937889
20,0.01,50,0.3,squared_error,1,0.5900480263116208,0.8993089832181639,0.8804260997161968
21,0.01,50,0.3,squared_error,2,0.6270244197697525,0.8973346495557749,0.8735707195359911
